dmaID,regionName,cityList
#698,Montgomery-Selma,['montgomery-selma']
#702,La Crosse-Eau Claire,['la crosse-eau claire']
#705,Wausau-Rhinelander,['wausau-rhinelander']
#709,Tyler-Longview(Lfkn&Ncgd),['tyler-longview(lfkn&ncgd)']
#710,Hattiesburg-Laurel,['hattiesburg-laurel']
#711,Meridian,['meridian']
#716,Baton Rouge,"['baton rouge', 'Baton Rouge']"
#717,Quincy-Hannibal-Keokuk,['quincy-hannibal-keokuk']
#718,"Jackson, MS",['jackson ms']
#722,Lincoln & Hastings-Krny,"['lincoln & hastings-krny', 'Lincoln, NE']"
#724,Fargo-Valley City,['fargo']
#725,Sioux Falls(Mitchell),['sioux falls(mitchell)']
#734,Jonesboro,['jonesboro']
#736,Bowling Green,['bowling green']
#737,Mankato,['mankato']
#740,North Platte,[]
#743,Anchorage,['anchorage']
#744,Honolulu,"['honolulu', 'Honolulu']"
#745,Fairbanks,['fairbanks']
#746,Biloxi-Gulfport,['biloxi-gulfport']
#747,Juneau,[]
#749,Laredo,[]
#751,Denver,"['denver', 'Fort Collins, CO', 'Denver']"
#752,Colorado Springs-Pueblo,"['colorado springs-pueblo', 'Colorado Springs']"
#753,Phoenix (Prescott),"['phoenix (prescott)', 'Glendale, AZ', 'Gilbert, AZ', 'Phoenix']"
#754,Butte-Bozeman,['butte-bozeman']
#755,Great Falls,['great falls']
#756,Billings,['billings']
#757,Boise,['boise']
#758,Idaho Fals-Pocatllo(Jcksn),['idaho fals-pocatllo(jcksn)']
#759,Cheyenne-Scottsbluff,['cheyenne-scottsbluff']
#760,Twin Falls,['twin falls']
#762,Missoula,['missoula']
#764,Rapid City,[]
#765,El Paso (Las Cruces),['el paso (las cruces)']
#766,Helena,[]
#767,Casper-Riverton,[]
#770,Salt Lake City,"['salt lake city', 'Salt Lake City']"
#771,Yuma-El Centro,['yuma-el centro']
#773,Grand Junction-Montrose,['grand junction-montrose']
#789,Tucson (Sierra Vista),"['tucson (sierra vista)', 'Tucson']"
#790,Albuquerque-Santa Fe,['albuquerque-santa fe']
#798,Glendive,[]
#800,Bakersfield,"['bakersfield', 'Bakersfield, CA']"
#801,Eugene,['eugene']
#802,Eureka,[]
#803,Los Angeles,"['los angeles', 'Anaheim, CA', 'Fontana, CA', 'Santa Ana, CA', 'Compton, CA', 'Los Angeles', 'Huntington Beach', 'Torrance, CA', 'Moreno Valley, CA', 'Redondo Beach, CA', 'Long Beach, CA', 'Whittier, CA', 'Covina, CA']"
#804,Palm Springs,['palm springs']
#807,San Francisco-Oak-San Jose,"['san francisco-oak-san jose', 'San Jose', 'San Francisco']"
#810,Yakima-Pasco-Rchlnd-Knnwck,['yakima-pasco-rchlnd-knnwck']
#811,Reno,['reno']
#813,Medford-Klamath Falls,['medford-klamath falls']
#819,Seattle-Tacoma,"['seattle-tacoma', 'Seattle']"
#820,"Portland, OR","['portland or', 'Portland']"
#821,"Bend, OR",[]
#825,San Diego,"['san diego', 'San Diego']"
#828,Monterey-Salinas,['monterey-salinas']
#839,Las Vegas,"['las vegas', 'Henderson, NV', 'Las Vegas']"
#855,SantaBarbra-SanMar-SanLuOb,"['santabarbra-sanmar-sanluob', 'Santa Barbara, CA']"
#862,Sacramnto-Stkton-Modesto,"['sacramnto-stkton-modesto', 'Sacramento']"
#866,Fresno-Visalia,"['fresno-visalia', 'Fresno']"
#868,Chico-Redding,"['chico-redding', 'Redding, CA']"
#881,Spokane,['spokane']
#999,Null,['None']
